"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2021","73.517","72.990","73.871","72.965","","0.73%"
"08/29/2021","72.982","73.449","73.550","72.903","","-0.66%"
"08/22/2021","73.470","74.246","74.306","73.449","","-1.18%"
"08/15/2021","74.347","74.222","74.478","74.113","","0.15%"
"08/08/2021","74.239","74.235","74.504","74.098","","0.00%"
"08/01/2021","74.240","74.340","74.430","74.039","","-0.13%"
"07/25/2021","74.337","74.432","74.540","74.216","","-0.12%"
"07/18/2021","74.425","74.674","75.026","74.301","","-0.24%"
"07/11/2021","74.606","74.522","74.670","74.396","","0.16%"
"07/04/2021","74.485","74.524","74.865","74.234","","-0.04%"
"06/27/2021","74.512","74.154","74.881","74.154","","0.41%"
"06/20/2021","74.210","74.092","74.408","74.041","","0.15%"
"06/13/2021","74.100","73.252","74.281","73.097","","1.17%"
"06/06/2021","73.240","72.893","73.257","72.738","","0.52%"
"05/30/2021","72.860","72.370","73.323","72.340","","0.64%"
"05/23/2021","72.400","72.856","72.978","72.310","","-0.57%"
"05/16/2021","72.817","73.276","73.330","72.749","","-0.65%"
"05/09/2021","73.290","73.273","73.652","73.179","","0.05%"
"05/02/2021","73.252","74.250","74.325","73.246","","-1.08%"
"04/25/2021","74.050","74.723","74.914","73.940","","-1.16%"
"04/18/2021","74.920","74.546","75.561","74.505","","0.52%"
"04/11/2021","74.530","74.958","75.537","74.283","","-0.26%"
"04/04/2021","74.722","73.311","74.975","73.205","","1.84%"
"03/28/2021","73.370","72.524","73.623","72.473","","1.05%"
"03/21/2021","72.610","72.440","72.723","72.263","","0.29%"
"03/14/2021","72.401","72.656","72.784","72.314","","-0.38%"
"03/07/2021","72.680","73.195","73.399","72.570","","-0.68%"
"02/28/2021","73.180","73.583","73.780","72.592","","-1.00%"
"02/21/2021","73.920","72.546","74.055","72.258","","1.89%"
"02/14/2021","72.550","72.598","72.961","72.407","","-0.04%"
"02/07/2021","72.580","72.800","72.999","72.550","","-0.32%"
"01/31/2021","72.810","72.898","73.190","72.765","","-0.09%"
"01/24/2021","72.877","72.948","73.180","72.780","","-0.14%"
"01/17/2021","72.980","73.121","73.320","72.878","","-0.19%"
"01/10/2021","73.120","73.421","73.581","72.912","","-0.29%"
"01/03/2021","73.330","73.079","73.485","72.817","","0.29%"
